subscription_revenue,api_revenue,project_revenue,licensing_revenue,total_costs,infrastructure_cost,data_cost,personnel_cost,marketing_cost,gross_revenue,adjusted_revenue,gross_profit,profit_margin,roi_percent,monthly_value,hours_saved,total_subscribers,api_calls,project_count,automation_savings
17921.472570012847,1664.2842369763118,26097.77709538594,18748.16401135989,8060.169753539014,609.2599708433177,1672.2264592816898,4395.364896584815,1383.3184268291911,64431.69791373499,84920.45427320703,76860.28451966801,0.9050856495938218,953.581461307569,76860.28451966801,1397.4597185394184,195.72092768956426,114429,4,0.2716785701266111
25351.727066490486,1850.2200340507266,52799.27856734689,5001.951776864451,7598.412883159317,757.6386954167677,1426.403258891548,4416.924166472043,997.4467623789587,85003.17744475254,76295.5230986396,68697.1102154803,0.9004081422531751,904.0981488086361,68697.1102154803,1249.038367554187,265.8904142480679,745821,5,0.2878007658505066
29744.466979162185,4508.584848069166,6652.352915086159,6732.748020913575,7055.7773336423425,1260.1950376292907,1793.270015537864,2584.7341736153153,1417.5781068598726,47638.15276323108,65366.53698830303,58310.75965466069,0.8920582662210645,826.4257345059871,58310.75965466069,1060.1956300847398,238.06887384446284,392025,1,0.2633523327288805
17798.335906394055,900.4336876386194,15738.986612637189,13331.347468026579,6844.649897721576,465.22783200179293,1317.9352315719839,4298.981283999132,762.5055501486672,47769.10367469644,65823.84637114029,58979.19647341871,0.8960156497217012,861.6831737887939,58979.19647341871,1072.349026789431,110.70874729006752,230165,3,0.15763271577299004
21870.110398812056,2589.4957750915337,41370.62133773962,5334.043185751012,8606.401315766541,641.2389206524832,2569.799462171485,3852.046068835206,1543.3168641073673,71164.27069739423,115497.11980530732,106890.71848954077,0.9254838447030168,1241.9908689793697,106890.71848954077,1943.4676089007412,227.43444853472025,161486,4,0.2988542570291819
27854.662252231105,1337.9144055708646,30000.0,10824.785531796035,6643.581725981571,456.8273776253545,1882.1613408092617,2498.011809352137,1806.581198194818,70017.362189598,82942.2518576752,76298.67013169364,0.9199011170159496,1148.4568607518818,76298.67013169364,1387.2485478489752,200.22127538767492,107971,2,0.2629093090395026
20398.296143416414,3898.331871564464,9661.99495953403,7905.57330783489,8351.112778330462,784.8364094322957,1529.0251030566899,4331.550781146161,1705.700484695316,41864.196282349796,75848.45511837605,67497.34234004558,0.8898973912481545,808.2436931661161,67497.34234004558,1227.2244061826468,287.2432107285627,805662,1,0.2025391213545344
20088.81731458771,10126.214241892425,42025.80664308501,9349.250446726588,7229.2498801249785,974.3387997811727,1815.8900281932074,3484.1372504559836,954.8838016946144,81590.08864629173,103482.05457504067,96252.8046949157,0.9301400623536843,1331.4355747964778,96252.8046949157,1750.0509944530127,151.92960630981082,942829,5,0.27707224074338743
31995.073211993404,9509.582459165622,30000.0,18733.208518772717,7318.578291049584,606.8207316037364,2113.749733217126,3827.0385911799444,770.9692350487767,90237.86418993174,112336.3794906061,105017.8011995565,0.9348512180627863,1434.948114553756,105017.8011995565,1909.4145672646637,243.99142661454272,979107,2,0.11229341857905827
30924.60485090827,6442.108540091625,12524.288783517386,10107.610776318124,7909.660232423255,1270.5583640129405,1432.243328978887,4088.2998072854016,1118.5587321460264,59998.612950835406,69204.72567502696,61295.06544260371,0.8857063566790857,774.9392975357293,61295.06544260371,1114.4557353200673,230.62384660727128,952320,2,0.14621414187468088
26968.221974934455,2167.20945298886,31331.043469970362,19234.5888222474,6443.772114421546,914.1166898164513,1722.9195124521516,2921.6577538259967,885.0781583269463,79701.06372014107,130789.89457173807,124346.12245731652,0.950731880811425,1929.710117758859,124346.12245731652,2260.8385901330275,279.26169030220785,580825,4,0.17766475341663227
21986.38761450642,1877.5675748887184,21975.277424629294,27501.878657741367,7155.204118578145,582.3022027061952,1958.1282462461365,3695.8927395351548,918.8809300906589,73341.1112717658,94421.60080965732,87266.39669107918,0.9242206861859694,1219.621344756555,87266.39669107918,1586.6617580196214,307.0510097735968,679318,3,0.23599333755966106
31390.944328416612,7252.818107238759,5952.866757106399,2508.0771697609616,7090.023212995218,1143.0870109452949,2014.5639274436649,3250.4148522640303,681.9574223422283,47104.70636252273,52996.3427722457,45906.31955925048,0.8662167454938365,647.4777046584184,45906.31955925048,834.660355622736,207.34450227744404,726875,1,0.23114436508312977
30417.139817553565,2876.9004114761738,32381.390284254783,15549.199082370491,8248.688806711865,1276.12989785867,1837.4604173041723,3259.430951607416,1875.667539941607,81224.62959565502,67716.87228616091,59468.18347944905,0.8781885735676894,720.9410473948352,59468.18347944905,1081.2396996263465,319.9440832583897,850279,5,0.10063047532335156
13806.81188399982,3897.6929211821457,40113.74861420875,7471.673239870383,7447.182734715698,905.6008729681505,1304.17033128313,3535.689076638418,1701.722453826,65289.9266592611,103160.19471449207,95713.01197977638,0.9278095320067333,1285.2244316982012,95713.01197977638,1740.2365814504797,188.02742621686207,760046,5,0.2931156051831915
27898.528941489414,2230.700028622986,4682.706342549014,3996.2801591943557,7629.261554011203,1317.9020424607618,1329.1094296525544,3297.996521015978,1684.2535608819092,38808.21547185577,52747.48800361714,45118.226449605936,0.8553625614647653,591.3839253011889,45118.226449605936,820.3313899928352,234.70645185906093,968581,1,0.10935037401036102
26003.64477439506,2392.8885145092454,9850.359041876723,7268.943238124823,7564.370346225538,734.377334854765,1365.7380378580742,3912.8491651380273,1551.405808374671,45515.83556890586,44160.23596521982,36595.865618994285,0.8287062969458958,483.7926217778966,36595.865618994285,665.3793748908051,191.1046717992001,867900,1,0.17591234489199348
